confirmed,recovered,deaths,active,date
1973715,474261,125910,1373544,2020-04-14
2018729,448539,119474,1450716,2020-04-13
1846107,421606,114081,1310420,2020-04-12
1770963,401995,108494,769738,2020-04-11
1691202,375999,102516,747881,2020-04-10
1594903,353901,95449,711015,2020-04-09
1510657,328587,88332,688360,2020-04-08
1425665,299988,81860,668373,2020-04-07
1344702,276468,74563,644400,2020-04-06
1271733,259964,69372,619907,2020-04-05
1197056,246115,64604,590360,2020-04-04
1095597,225765,58785,542172,2020-04-03
1013017,210235,52981,511719,2020-04-02
932346,193149,46807,484122,2020-04-01
857256,178010,42105,453032,2020-03-31
782179,164547,37580,419991,2020-03-30
719937,149063,33923,395424,2020-03-29
660504,139396,30650,367042,2020-03-28
593114,130891,27196,331448,2020-03-27
529436,122127,23968,297575,2020-03-26
467594,113764,21181,265136,2020-03-25
417966,107699,18615,236312,2020-03-24
377575,100391,16489,215517,2020-03-23
336308,96676,14615,190249,2020-03-22
303834,91351,12965,199518,2020-03-21
271453,87078,11292,173083,2020-03-20
241999,84637,9860,147502,2020-03-19
214201,82988,8726,122487,2020-03-18
196470,80515,7898,108057,2020-03-17
180848,77763,7119,95966,2020-03-16
166749,75709,6433,84607,2020-03-15
155403,72299,5812,77292,2020-03-14
144497,69926,5397,69174,2020-03-13
127647,67999,4713,54935,2020-03-12
125169,66678,4608,53883,2020-03-11
117684,64272,4252,49160,2020-03-10
112886,62472,3990,46424,2020-03-09
109139,60655,3797,44687,2020-03-08
105140,58319,3552,43269,2020-03-07
101104,55826,3454,41824,2020-03-06
97180,53787,3342,40051,2020-03-05
94418,51161,3248,40009,2020-03-04
92138,48219,3154,40765,2020-03-03
89604,45592,3079,40933,2020-03-02
87666,42706,2990,41970,2020-03-01
85308,39772,2935,42601,2020-02-29
83418,36701,2866,43851,2020-02-28
82051,33267,2810,45974,2020-02-27
80692,30374,2766,47552,2020-02-26
79724,27905,2705,49114,2020-02-25
78879,25227,2626,51026,2020-02-24
78294,23394,2466,52434,2020-02-23
77965,22885,2456,52624,2020-02-22
76209,18889,2249,55071,2020-02-21
75565,18176,2245,55144,2020-02-20
75020,16120,2122,56778,2020-02-19
74596,14352,2007,58237,2020-02-18
72806,12583,1868,58355,2020-02-17
70871,10865,1770,58236,2020-02-16
68747,9395,1666,57686,2020-02-15
66669,8058,1523,57088,2020-02-14
60195,6295,1371,52529,2020-02-13
45047,5150,1118,38779,2020-02-12
44668,4683,1113,38872,2020-02-11
42628,3946,1013,37669,2020-02-10
40087,3244,906,35937,2020-02-09
37060,2616,806,33638,2020-02-08
34331,2011,719,31601,2020-02-07
30818,1487,634,28697,2020-02-06
27636,1124,564,25948,2020-02-05
23892,852,492,22548,2020-02-04
19881,623,426,18832,2020-02-03
16787,472,362,15953,2020-02-02
12038,284,259,11495,2020-02-01
9925,222,213,9490,2020-01-31
8235,143,171,7921,2020-01-30
6165,126,133,5906,2020-01-29
5578,107,131,5340,2020-01-28
2927,61,82,2784,2020-01-27
2118,52,56,2010,2020-01-26
1438,39,42,1357,2020-01-25
941,36,26,879,2020-01-24
653,30,18,605,2020-01-23
555,28,17,510,2020-01-22
